device_id,gender_id
B-52-8227,1
B-52-50806,1
B-52-41724,2
B-52-43016,
B-52-2831,2
B-52-95,2
B-52-41648,2
B-52-2546,1
B-52-15960,2
B-52-6859,
B-52-37506,2
B-52-30039,2
B-52-40812,
B-52-19570,2
B-52-34314,1
B-52-9842,2
B-52-49134,1
B-52-48051,2
B-52-3097,1
B-52-46455,2
B-52-36594,
B-52-31407,2
B-52-30552,2
B-52-5947,2
B-52-26809,2
B-52-23104,2
B-52-21774,2
B-52-40831,2
B-52-19209,2
B-52-41344,1
B-52-18981,2
B-52-43795,1
B-52-4047,1
B-52-45505,1
B-52-46607,2
B-52-23959,2
B-52-46341,2
B-52-32642,2
B-52-28861,2
B-52-2280,2
B-52-7163,2
B-52-4389,2
B-52-5662,2
B-52-38912,2
B-52-44802,1
B-52-51813,1
B-52-14459,2
B-52-33744,2
B-52-4484,1
B-52-22952,1
B-52-35777,
B-52-31616,1
B-52-18392,2
B-52-8797,1
B-52-7429,1
B-52-51148,2
B-52-45714,2
B-52-19646,1
B-52-21584,2
B-52-41135,2
B-52-20007,1
B-52-8759,2
B-52-20862,
B-52-36746,2
B-52-9576,2
B-52-13889,1
B-52-39292,2
B-52-49115,1
B-52-17195,
B-52-16359,1
B-52-1653,2
B-52-7201,1
B-52-40850,2
B-52-29602,1
B-52-42579,2
B-52-49381,2
B-52-35530,1
B-52-18810,2
B-52-5738,1
B-52-26258,1
B-52-18487,1
B-52-43814,1
B-52-31654,2
B-52-13718,1
B-52-33060,2
B-52-31331,2
B-52-47614,2
B-52-4636,2
B-52-9310,2
B-52-2508,1
B-52-24206,2
B-52-40432,1
B-52-46721,1
B-52-27265,2
B-52-24491,2
B-52-24358,2
B-52-2850,1
B-52-48640,2
B-52-29488,1
B-52-36708,1
B-52-7790,2
B-52-23522,1
B-52-21698,1
B-52-31540,2
B-52-24073,1
B-52-627,2
B-52-36499,2
B-52-13547,2
B-52-2622,
B-52-37696,1
B-52-304,1
B-52-48032,2
B-52-50730,1
B-52-39064,2
B-52-37924,2
B-52-19057,2
B-52-3819,2
B-52-36917,1
B-52-35511,1
B-52-23693,2
B-52-50844,2
B-52-23503,1
B-52-50901,1
B-52-43852,1
B-52-8512,2
B-52-20482,1
B-52-26277,1
B-52-44270,2
B-52-551,2
B-52-49210,2
B-52-23731,2
B-52-5871,2
B-52-30001,1
B-52-10982,1
B-52-27512,2
B-52-43073,1
B-52-12179,1
B-52-26581,1
B-52-18316,1
B-52-6612,2
B-52-31388,1
B-52-190,2
B-52-11343,2
B-52-45999,1
B-52-28785,2
B-52-34010,2
B-52-38266,2
B-52-29982,1
B-52-36860,2
B-52-17309,2
B-52-44954,2
B-52-23826,1
B-52-16644,2
B-52-27284,2
B-52-51110,1
B-52-40071,1
B-52-40565,2
B-52-32585,2
B-52-16986,1
B-52-42047,2
B-52-15181,1
B-52-24776,2
B-52-36176,1
B-52-27189,2
B-52-1444,1
B-52-13414,1
B-52-30514,1
B-52-52136,2
B-52-23788,2
B-52-11666,2
B-52-14250,1
B-52-9443,1
B-52-3914,1
B-52-12939,2
B-52-27683,2
B-52-20634,1
B-52-29830,1
B-52-28025,2
B-52-19418,2
B-52-3287,2
B-52-47804,1
B-52-27949,2
B-52-48165,2
B-52-31008,2
B-52-51262,
B-52-12065,2
B-52-45391,2
B-52-39159,2
B-52-39596,2
B-52-8949,1
B-52-30457,1
B-52-19627,2
B-52-23389,2
B-52-2489,
B-52-25764,1
B-52-37962,2
B-52-8702,2
B-52-10412,1
B-52-17537,1
B-52-40527,2
B-52-30590,1
B-52-26904,2
B-52-17043,2
B-52-31863,1
B-52-50464,2
B-52-42503,2
B-52-15561,1
B-52-8835,2
B-52-26923,2
B-52-31369,2
B-52-45486,2
B-52-5358,1
B-52-14136,1
B-52-50673,2
B-52-46189,2
B-52-8569,1
B-52-41800,1
B-52-47025,2
B-52-40128,2
B-52-21356,2
B-52-16245,1
B-52-31122,2
B-52-25308,2
B-52-2755,1
B-52-1862,2
B-52-798,2
B-52-3648,
B-52-20140,2
B-52-34105,2
B-52-1349,1
B-52-48735,2
B-52-50065,
B-52-9196,1
B-52-33098,1
B-52-7391,2
B-52-35948,2
B-52-33155,2
B-52-11761,2
B-52-380,1
B-52-16492,2
B-52-37202,1
B-52-31920,1
B-52-23750,2
B-52-25441,2
B-52-45277,2
B-52-47633,1
B-52-20349,2
B-52-39558,
B-52-2698,2
B-52-30172,2
B-52-19589,1
B-52-48963,2
B-52-48184,2
B-52-10469,1
B-52-46949,2
B-52-43890,
B-52-47310,1
B-52-5852,1
B-52-20995,2
B-52-52687,2
B-52-30856,1
B-52-21660,
B-52-494,1
B-52-13262,2
B-52-26847,2
B-52-21565,1
B-52-10393,2
B-52-15048,2
B-52-32319,2
B-52-7125,2
B-52-26068,1
B-52-11780,2
B-52-28576,1
B-52-40166,2
B-52-4712,2
B-52-22819,1
B-52-22971,2
B-52-14193,1
B-52-44384,2
B-52-32300,2
B-52-19551,1
B-52-13034,2
B-52-28310,1
B-52-17461,1
B-52-27303,1
B-52-42123,2
B-52-15637,2
B-52-36841,2
B-52-15922,2
B-52-49704,2
B-52-5168,1
B-52-24415,1
B-52-28158,1
B-52-10906,2
B-52-31312,
B-52-52535,1
B-52-37449,1
B-52-15846,2
B-52-50654,2
B-52-45885,2
B-52-3800,2
B-52-28329,1
B-52-6004,2
B-52-29640,2
B-52-47652,2
B-52-43700,1
B-52-5377,2
B-52-2166,2
B-52-9728,2
B-52-4826,2
B-52-45904,
B-52-13851,2
B-52-2774,1
B-52-46322,2
B-52-19760,2
B-52-9652,1
B-52-37411,2
B-52-35188,2
B-52-27360,2
B-52-15580,2
B-52-19266,1
B-52-25726,2
B-52-10659,2
B-52-1995,1
B-52-6137,1
B-52-15466,1
B-52-18430,2
B-52-3477,1
B-52-11134,2
B-52-40679,2
B-52-27132,2
B-52-42598,1
B-52-23351,2
B-52-779,2
B-52-49799,1
B-52-16302,1
B-52-39938,2
B-52-22857,2
B-52-46208,2
B-52-31825,2
B-52-342,1
B-52-42446,2
B-52-10165,1
B-52-4313,2
B-52-6346,1
B-52-43339,2
B-52-22040,1
B-52-52516,1
B-52-35682,
B-52-51376,2
B-52-10108,2
B-52-49495,2
B-52-11305,2
B-52-13319,2
B-52-25859,2
B-52-49932,1
B-52-2014,2
B-52-52345,2
B-52-45182,2
B-52-17138,2
B-52-51433,1
B-52-21109,2
B-52-23123,2
B-52-33307,2
B-52-5491,2
B-52-11096,2
B-52-51775,1
B-52-34371,2
B-52-4750,2
B-52-40717,1
B-52-49571,2
B-52-38855,2
B-52-29241,2
B-52-25745,1
B-52-46588,1
B-52-9234,1
B-52-17499,2
B-52-38114,1
B-52-28842,2
B-52-46778,
B-52-18278,2
B-52-47120,1
B-52-9690,1
B-52-6194,1
B-52-43491,2
B-52-12806,2
B-52-51718,1
B-52-36024,2
B-52-46436,2
B-52-13072,2
B-52-39349,2
B-52-11989,2
B-52-26733,1
B-52-41230,1
B-52-19152,2
B-52-37981,2
B-52-48412,2
